,Messstelle,Gewässer,Datum Zeit,Wasser­stand [cm],Änderung seit 2 Std. [cm],Abfluss [m³/s],Melde­stufe,Jähr­lichkeit,Vorher­sage
0,Sylvenstein,Isar,2021-07-08 00:00:00,276,0,388,0,---,
1,Lenggries,Isar,2021-07-08 00:00:00,145,0,471,0,---,
2,Bad Tölz Brücke,Isar,2021-07-08 00:00:00,87,0,---,0,---,
3,Puppling,Isar,2021-07-08 00:00:00,166,0,719,0,---,
4,München,Isar,2021-07-08 00:00:00,178,-4,166,0,---,
5,Freising,Isar,2021-07-08 00:00:00,92,-4,679,0,---,
6,Landshut Birket,Isar,2021-07-08 00:00:00,172,-6,276,0,---,
7,Landau,Isar,2021-07-08 00:00:00,170,3,339,0,---,
8,Plattling,Isar,2021-07-08 00:00:00,259,8,310,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-08 00:00:00,109,-1,115,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-08 00:00:00,182,0,413,0,---,
11,Schlehdorf,Loisach,2021-07-08 00:00:00,139,-2,402,0,---,
12,Kochel,Loisach,2021-07-08 00:00:00,133,-5,745,0,---,
13,Beuerberg,Loisach,2021-07-08 00:00:00,363,-4,830,0,---,
14,Partenkirchen (alt),Partnach,2021-07-08 00:00:00,64,-1,708,0,---,
15,Stegen,Ammersee,2021-07-08 00:00:00,53325,-1,---,0,---,
16,Stegen,Amper,2021-07-08 00:00:00,150,0,361,0,---,
17,Fürstenfeldbruck,Amper,2021-07-08 00:00:00,105,0,399,0,---,
18,Ampermoching,Amper,2021-07-08 00:00:00,234,-1,575,0,---,
19,Inkofen,Amper,2021-07-08 00:00:00,141,-1,699,0,---,
20,Oberammergau,Ammer,2021-07-08 00:00:00,58,0,601,0,---,
21,Peißenberg,Ammer,2021-07-08 00:00:00,81,0,130,0,---,
22,Weilheim,Ammer,2021-07-08 00:00:00,75,-2,216,0,---,
23,Raisting,Rott,2021-07-08 00:00:00,51,-1,096,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-08 00:00:00,62506,0,---,0,---,
25,Leutstetten,Würm,2021-07-08 00:00:00,149,0,689,0,---,
26,Hohenkammer,Glonn,2021-07-08 00:00:00,54,0,408,0,---,
27,Berg,Sempt,2021-07-08 00:00:00,69,-1,407,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-08 00:00:00,151,-1,244,0,---,
29,Starnberg,Starnberger See,2021-07-08 00:00:00,58453,-1,---,0,---,
30,Eching,Windach,2021-07-08 00:00:00,82,-1,167,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-08 00:00:00,34,0,088,0,---,
0,Sylvenstein,Isar,2021-07-08 01:00:00,276,-1,388,0,---,
1,Lenggries,Isar,2021-07-08 01:00:00,145,0,471,0,---,
2,Bad Tölz Brücke,Isar,2021-07-08 01:00:00,87,0,---,0,---,
3,Puppling,Isar,2021-07-08 01:00:00,165,-1,707,0,---,
4,München,Isar,2021-07-08 01:00:00,177,-3,165,0,---,
5,Freising,Isar,2021-07-08 01:00:00,90,-5,655,0,---,
6,Landshut Birket,Isar,2021-07-08 01:00:00,171,-3,273,0,---,
7,Landau,Isar,2021-07-08 01:00:00,162,-8,320,0,---,
8,Plattling,Isar,2021-07-08 01:00:00,260,5,313,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-08 01:00:00,109,-1,115,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-08 01:00:00,181,-1,406,0,---,
11,Schlehdorf,Loisach,2021-07-08 01:00:00,139,-1,402,0,---,
12,Kochel,Loisach,2021-07-08 01:00:00,130,-5,728,0,---,
13,Beuerberg,Loisach,2021-07-08 01:00:00,362,-3,820,0,---,
14,Partenkirchen (alt),Partnach,2021-07-08 01:00:00,64,0,708,0,---,
15,Stegen,Ammersee,2021-07-08 01:00:00,53324,-2,---,0,---,
16,Stegen,Amper,2021-07-08 01:00:00,152,2,370,0,---,
17,Fürstenfeldbruck,Amper,2021-07-08 01:00:00,104,0,394,0,---,
18,Ampermoching,Amper,2021-07-08 01:00:00,234,0,575,0,---,
19,Inkofen,Amper,2021-07-08 01:00:00,141,0,699,0,---,
20,Oberammergau,Ammer,2021-07-08 01:00:00,57,-1,575,0,---,
21,Peißenberg,Ammer,2021-07-08 01:00:00,80,-1,125,0,---,
22,Weilheim,Ammer,2021-07-08 01:00:00,75,-1,216,0,---,
23,Raisting,Rott,2021-07-08 01:00:00,51,-1,096,0,---,
24,Oberfinning Seepegel,Windachspeicher,2021-07-08 01:00:00,62505,-1,---,0,---,
25,Leutstetten,Würm,2021-07-08 01:00:00,149,0,689,0,---,
26,Hohenkammer,Glonn,2021-07-08 01:00:00,54,0,408,0,---,
27,Berg,Sempt,2021-07-08 01:00:00,69,0,407,0,---,
28,Eschenlohe Brücke,Loisach,2021-07-08 01:00:00,152,1,249,0,---,
29,Starnberg,Starnberger See,2021-07-08 01:00:00,58453,0,---,0,---,
30,Eching,Windach,2021-07-08 01:00:00,82,-1,167,0,---,
31,Oberfinning Speicherabgabe,Windach,2021-07-08 01:00:00,32,-2,078,0,---,
0,Sylvenstein,Isar,2021-07-08 02:00:00,276,-1,388,0,---,
1,Lenggries,Isar,2021-07-08 02:00:00,145,-1,471,0,---,
2,Bad Tölz Brücke,Isar,2021-07-08 02:00:00,86,-1,---,0,---,
3,Puppling,Isar,2021-07-08 02:00:00,165,-1,707,0,---,
4,München,Isar,2021-07-08 02:00:00,174,-1,159,0,---,
5,Freising,Isar,2021-07-08 02:00:00,90,-1,655,0,---,
6,Landshut Birket,Isar,2021-07-08 02:00:00,170,-1,271,0,---,
7,Landau,Isar,2021-07-08 02:00:00,161,-1,317,0,---,
8,Plattling,Isar,2021-07-08 02:00:00,254,-1,299,0,---,
9,Garmisch o. d. Partnachmündung,Loisach,2021-07-08 02:00:00,109,-1,115,0,---,
10,Garmisch u. d. Partnachmündung,Loisach,2021-07-08 02:00:00,181,-1,406,0,---,
11,Schlehdorf,Loisach,2021-07-08 02:00:00,138,-1,396,0,---,
